codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
34913,CONSULTORIO DENTAL ULLOA,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,-12.5808749,-69.2032425,210.0,Banda 1,0–2499 m s. n. m.
34915,PSICO & WORK,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,-12.60023958,-69.1839429,195.0,Banda 1,0–2499 m s. n. m.
34916,MASTER DENT,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,-12.5950735,-69.18608709,204.0,Banda 1,0–2499 m s. n. m.
35143,DENTAL IMPERIAL EIRL,TRUJILLO,TRUJILLO,LA LIBERTAD,-8.11649437,-79.0231353,35.0,Banda 1,0–2499 m s. n. m.
35069,POLICLINICO MUNICIPAL SAN MIGUEL,SAN MIGUEL,LIMA,LIMA,-12.0691187,-77.1039962,41.0,Banda 1,0–2499 m s. n. m.
35145,NEOGASTRO,SANTIAGO DE SURCO,LIMA,LIMA,-12.14761093,-76.99131286,88.0,Banda 1,0–2499 m s. n. m.
35193,LIFECENTER,SAN ISIDRO,LIMA,LIMA,-12.09290585,-77.03431628,117.0,Banda 1,0–2499 m s. n. m.
34577,IMAGENES DEL PACIFICO SAC - DIAGNOCENTER IMAGENES,PIURA,PIURA,PIURA,-5.2002781,-80.6222598,32.0,Banda 1,0–2499 m s. n. m.
34898,MEDYCO,SAN ISIDRO,LIMA,LIMA,-12.1004916,-77.0188963,127.0,Banda 1,0–2499 m s. n. m.
34485,MENTE & VIDA- PSICOLOGIA,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-12.0277398,-77.0094692,194.0,Banda 1,0–2499 m s. n. m.
34151,PUESTO DE SALUD I-1 NUEVO HORIZONTE DE PUCAYACU,URARINAS,LORETO,LORETO,-4.06423,-75.40744,141.0,Banda 1,0–2499 m s. n. m.
34195,CONSULTORIO DERMATOLOGICO DERMAPIEL,MOYOBAMBA,MOYOBAMBA,SAN MARTIN,-6.0354138,-76.9704225,878.0,Banda 1,0–2499 m s. n. m.
34216,GYNECA,LOS OLIVOS,LIMA,LIMA,-11.9900744,-77.0660791,63.0,Banda 1,0–2499 m s. n. m.
34286,ARCA-LAB,SAN BORJA,LIMA,LIMA,-12.0993549,-76.9950339,161.0,Banda 1,0–2499 m s. n. m.
34444,RDA RADIOLOGIA DENTAL AVANZADA,LOS OLIVOS,LIMA,LIMA,-11.9910418,-77.0691634,60.0,Banda 1,0–2499 m s. n. m.
34448,CHIARA,COMBAPATA,CANCHIS,CUSCO,-14.08542551,-71.37839536,3506.0,Banda 2,2500–3599 m s. n. m.
33852,ARTRAUMA,INDEPENDENCIA,LIMA,LIMA,-11.98927336,-77.0578111,69.0,Banda 1,0–2499 m s. n. m.
34038,CENTRO DE SALUD MENTAL COMUNITARIO RICARDO PALMA,SAN JUAN DE MIRAFLORES,LIMA,LIMA,-12.1851036,-76.9615319,118.0,Banda 1,0–2499 m s. n. m.
33848,LUANA DENT,MOYOBAMBA,MOYOBAMBA,SAN MARTIN,-6.0343448,-76.9742681,876.0,Banda 1,0–2499 m s. n. m.
33809,ESTABLECIMIENTO DE SALUD SAN JORGE GROUP SAC,CHICLAYO,CHICLAYO,LAMBAYEQUE,-6.77470251,-79.8684131,29.0,Banda 1,0–2499 m s. n. m.
32834,SERVIMEDIC HUANCAYO,CHILCA,HUANCAYO,JUNIN,-12.08281984,-75.20491144,3244.0,Banda 2,2500–3599 m s. n. m.
34207,DENTAL MANGA,WANCHAQ,CUSCO,CUSCO,-13.5312909,-71.9593989,3317.0,Banda 2,2500–3599 m s. n. m.
34208,ECCODENT,TARAPOTO,SAN MARTIN,SAN MARTIN,-6.48533,-76.37202,309.0,Banda 1,0–2499 m s. n. m.
34299,JL DERMATOLOGY,PUEBLO LIBRE,LIMA,LIMA,-12.08464,-77.0620454,84.0,Banda 1,0–2499 m s. n. m.
34398,Dental Jesús María,ICA,ICA,ICA,-14.0627381,-75.7264258,411.0,Banda 1,0–2499 m s. n. m.
34495,AXION CONSULTORIOS MÉDICOS,BELLAVISTA,CALLAO,CALLAO,-12.056637,-77.097943,49.0,Banda 1,0–2499 m s. n. m.
33531,MARYOL MEDICINA ESTETICA,MIRAFLORES,LIMA,LIMA,-12.118948,-77.0271275,91.0,Banda 1,0–2499 m s. n. m.
33598,CLINICA DENTAL IMPLANTES DEL NORTE  S.A.C.,CASTILLA,PIURA,PIURA,-5.1863265,-80.5987549,41.0,Banda 1,0–2499 m s. n. m.
33675,INNOMEDIC PERU,SAN MARTIN DE PORRES,LIMA,LIMA,-11.99120475,-77.09083496,40.0,Banda 1,0–2499 m s. n. m.
33053,CONSULTORIO TOPICO SALUDANDO,HUANUCO,HUANUCO,HUANUCO,-9.9207648,-76.2410843,1925.0,Banda 1,0–2499 m s. n. m.
33976,CONSULTORIO DENTAL RAMON CASTILLA,ANDAHUAYLAS,ANDAHUAYLAS,APURIMAC,-13.65660677,-73.38654888,2894.0,Banda 2,2500–3599 m s. n. m.
33922,MEDICCLUB,LINCE,LIMA,LIMA,-12.08279651,-77.03782863,116.0,Banda 1,0–2499 m s. n. m.
34328,PUESTO DE SALUD JOSE MARIA ARGUEDAS,SAN JUAN DE MIRAFLORES,LIMA,LIMA,-12.1589058,-76.9751756,114.0,Banda 1,0–2499 m s. n. m.
34376,GIADA MEDIC,WANCHAQ,CUSCO,CUSCO,-13.53195,-71.9674626,3336.0,Banda 2,2500–3599 m s. n. m.
34360,dentix sonrisas,EL AGUSTINO,LIMA,LIMA,-12.040496,-76.9982814,212.0,Banda 1,0–2499 m s. n. m.
